nm,Taxon,Common Name,SVSPP,Lm,a,b
merluccius bilinearis,Merluccius bilinearis,silver hake,72,22,,
gadus morhua,Gadus morhua,Atlantic cod,73,43,0.0069,3.08
melanogrammus aeglefinus,Melanogrammus aeglefinus,haddock,74,36,0.0059,3.13
pollachius virens,Pollachius virens,pollock,75,44,,
urophycis tenuis,Urophycis tenuis,White Hake,76,32,,
urophycis chuss,Urophycis chuss,Red Hake,77,22,,
hippoglossus hippoglossus,Hippoglossus hippoglossus,Atlantic Halibut,101,75,,
hippoglossoides platessoides,Hippoglossoides platessoides,American plaice,102,36,,
paralichthys dentatus,Paralichthys dentatus,summer flounder,103,28,,
limanda ferruginea,Limanda ferruginea,yellowtail flounder,105,27,,
pseudopleuronectes americanus,Pseudopleuronectes americanus,winter flounder,106,27,,
glyptocephalus cynoglossus,Glyptocephalus cynoglossus,witch flounder,107,31,,
scophthalmus aquosus,Scophthalmus aquosus,windowpane,108,22,,
sebastes norvegicus,Sebastes norvegicus,redfishes,155,16,,
anarhichas lupus,Anarhichas lupus,Atlantic Wolffish,192,40,,
zoarces americanus,Zoarces americanus,Ocean Pout,193,30,,
lophius americanus,Lophius americanus,monkfish,197,37,,
